inv_Temp,MCI,Avg Molar, omega,V/cP
0.0032976092333058533,0.021816307,77.58,2.5238,0.0219
0.003290014805066623,0.021208997,77.58,2.5238,0.0219
0.003281378178835111,0.020543124,77.58,2.5238,0.0209
0.003272786777941417,0.019905781,77.58,2.5238,0.0209
0.0032653061224489797,0.019370319,77.58,2.5238,0.0199
0.0032567985670086306,0.018782471,77.58,2.5238,0.0199
0.0032483352281955495,0.018219055,77.58,2.5238,0.0189
0.0032399157621901833,0.017678814,77.58,2.5238,0.0189
0.003232584451268789,0.017224183,77.58,2.5238,0.0179
0.003224246332419797,0.016724265,77.58,2.5238,0.0179
0.0032159511175430134,0.016244313,77.58,2.5238,0.0169
0.0032087277394513077,0.015839953,77.58,2.5238,0.0169
0.0032005120819331096,0.015394814,77.58,2.5238,0.0169
0.0031923383878691143,0.014966948,77.58,2.5238,0.0159
0.0031852205765249245,0.014606078,77.58,2.5238,0.0159
0.003177124702144559,0.014208389,77.58,2.5238,0.0159
0.0031690698779908094,0.013825704,77.58,2.5238,0.0149
0.0031620553359683794,0.013502606,77.58,2.5238,0.0149
0.0031540766440624505,0.013146182,77.58,2.5238,0.0149
0.0031461381154632684,0.012802838,77.58,2.5238,0.0139
0.0031382394476698575,0.012471977,77.58,2.5238,0.0139
0.003131360576170346,0.012192266,77.58,2.5238,0.0139
0.003123535842573794,0.011883306,77.58,2.5238,0.0139
0.0031157501168406296,0.011585281,77.58,2.5238,0.0129
0.00310896937665164,0.011333099,77.58,2.5238,0.0129
0.0031012560086835167,0.011054294,77.58,2.5238,0.0129
0.0030935808197989174,0.0107851,77.58,2.5238,0.0129
0.003412386964681795,0.0287167,74.48,2.9253,0.0279
0.0034030968181044748,0.02768059,74.48,2.9253,0.0269
0.0033938571186153065,0.026694832,74.48,2.9253,0.0259
0.0033846674564224064,0.025756418,74.48,2.9253,0.0249
0.0033755274261603376,0.02486255,74.48,2.9253,0.0239
0.0033664366268305,0.024010624,74.48,2.9253,0.0239
0.0033573946617424877,0.023198217,74.48,2.9253,0.0229
0.0033495226930162453,0.022517998,74.48,2.9253,0.0219
0.003340571237681643,0.021773718,74.48,2.9253,0.0209
0.003331667499583542,0.021062861,74.48,2.9253,0.0209
0.003322811098189068,0.020383574,74.48,2.9253,0.0199
0.003315100281783524,0.019813732,74.48,2.9253,0.0199
0.003306331625061994,0.01918906,74.48,2.9253,0.0189
0.0032976092333058533,0.018591275,74.48,2.9253,0.0189
0.003290014805066623,0.018089141,74.48,2.9253,0.0179
0.003281378178835111,0.01753798,74.48,2.9253,0.0179
0.003272786777941417,0.017009828,74.48,2.9253,0.0169
0.0032653061224489797,0.01656563,74.48,2.9253,0.0169
0.0032567985670086306,0.016077467,74.48,2.9253,0.0159
0.0032483352281955495,0.015609082,74.48,2.9253,0.0159
0.0032399157621901833,0.015159481,74.48,2.9253,0.0159
0.003232584451268789,0.014780752,74.48,2.9253,0.0149
0.003224246332419797,0.014363893,74.48,2.9253,0.0149
0.0032159511175430134,0.013963274,74.48,2.9253,0.0149
0.0032087277394513077,0.013625435,74.48,2.9253,0.0139
0.0032005120819331096,0.013253182,74.48,2.9253,0.0139
0.0031923383878691143,0.012895027,74.48,2.9253,0.0139
0.0031852205765249245,0.012592682,74.48,2.9253,0.0139
0.003177124702144559,0.012259197,74.48,2.9253,0.0129
0.0031690698779908094,0.011937996,74.48,2.9253,0.0129
0.0031620553359683794,0.011666578,74.48,2.9253,0.0129
0.0031540766440624505,0.011366914,74.48,2.9253,0.0129
0.0031461381154632684,0.011077993,74.48,2.9253,0.0119
0.0031382394476698575,0.010799334,74.48,2.9253,0.0119
0.003131360576170346,0.010563567,74.48,2.9253,0.0119
0.003123535842573794,0.010302941,74.48,2.9253,0.0119
0.0031157501168406296,0.010051332,74.48,2.9253,0.0119
0.00310896937665164,0.009838262,74.48,2.9253,0.0109
0.0031012560086835167,0.009602522,74.48,2.9253,0.0109
0.0030935808197989174,0.009374729,74.48,2.9253,0.0109
0.003412386964681795,0.466739557,115.87,1.607,0.458
0.0033961623365596876,0.417988903,115.87,1.607,0.434
0.0033904051534158334,0.402192952,115.87,1.607,0.422
