DES,T/K,V/cP,MCI,Avg Molar, omega
DES27,310.95,0.264,0.246395049,218.5,5.6241
DES10,307.85,0.108,0.105602363,99.7,4.3641
DES24,319.35,0.1874,0.20136254,145.13,5.9401
DES27,313.95,0.222,0.210487046,218.5,5.6241
DES9,315.55,0.083,0.082191898,101.61,3.6749
DES11,297.75,0.074,0.077570657,144.91,2.1383
DES11,293.85,0.092,0.09523039,144.91,2.1383
DES18,293.85,0.159,0.158013768,135.86,4.3875
DES35,306.25,0.0552,0.053949479,103.72,4.329
DES41,297.05,0.272,0.268501853,236.27,3.542
DES12,297.05,0.082,0.082580158,146.7,3.3588
DES33,320.95,0.0365,0.036680649,127.15,3.526
DES39,307.85,0.288,0.287148652,168.09,5.0786
DES17,293.85,0.1834,0.183743036,159.48,3.986
DES34,307.05,0.0599,0.057975617,114.13,3.9275
DES8,298.55,0.248,0.247320913,103.98,2.9856
DES4,315.55,0.0149,0.013825704,77.58,2.5238
DES7,308.65,0.154,0.156034292,107.78,2.2963
DES7,295.45,0.375,0.373019453,107.78,2.2963
DES25,298.55,0.8942,0.821899985,134.52,6.6294
DES36,312.45,0.361,0.364608983,128.94,3.0108
DES8,320.15,0.072,0.074085699,103.98,2.9856
DES13,310.15,0.047,0.046911428,147.54,4.5794
DES40,296.25,0.527,0.510846078,207.24,5.7679
DES10,316.25,0.072,0.069370915,99.7,4.3641
DES8,316.25,0.087,0.089103183,103.98,2.9856
DES17,322.45,0.0393,0.04631048,159.48,3.986
DES3,301.65,0.0319,0.031965267,81.46,2.1223
DES3,320.95,0.0179,0.015237307,81.46,2.1223
DES15,317.05,0.038,0.03725337,148.49,7.0204
DES43,300.15,0.121,0.120756544,193.22,5.9831
DES42,308.65,0.097,0.098073311,207.0,4.7626
DES33,318.55,0.0402,0.040253492,127.15,3.526
DES18,303.95,0.0833,0.089839779,135.86,4.3875
DES6,294.95,0.422,0.402192952,115.87,1.607
DES5,295.45,0.0249,0.025756418,74.48,2.9253
DES41,300.15,0.228,0.225065751,236.27,3.542
DES12,322.45,0.028,0.028245609,146.7,3.3588
DES25,304.75,0.5961,0.503367018,134.52,6.6294
DES37,296.25,1.045,0.974730286,138.15,3.7
DES8,301.65,0.2,0.201463999,103.98,2.9856
DES8,317.05,0.084,0.085708865,103.98,2.9856
