MR,T/K,MCI,ωm,MW,Dexp
1.2,320.24,2.2963,1.25,107.78,1.1639
1.2,342.59,3.3588,1.02,146.7,1.0929
1.4,352.73,5.9401,1.31,145.13,1.2579
1.5,323.98,6.6294,1.34,134.52,1.2742
1.2,326.62,1.7208,0.94,87.6648,1.1063
1.3,348.59,3.526,0.96,127.15,1.0234
1.2,335.25,3.1245,0.95,147.97,1.0352
1.5,350.58,9.2857,1.04,183.3,1.1557
1.2,320.24,3.986,0.9,159.48,1.2686
1.5,338.46,7.0204,1.06,148.49,1.0983
1.3,342.91,4.3875,0.93,135.86,1.2227
1.2,308.94,3.7,1.26,138.15,1.129
1.4,314.51,4.789,0.94,121.1,1.2191
1.2,334.67,5.6241,0.98,218.5,1.1708
1.2,343.76,1.7208,0.94,87.6648,1.096
1.5,341.29,4.329,0.97,103.72,1.0374
1.2,308.99,3.3588,1.02,146.7,1.1135
1.4,353.56,3.6749,1.33,101.61,1.1701
1.5,322.41,2.9253,0.97,74.48,1.1016
1.4,327.47,8.0651,1.03,191.58,1.1701
1.3,309.19,4.3875,0.93,135.86,1.2424
1.3,351.48,5.9831,1.05,193.22,1.0512
1.4,315.56,7.2036,1.06,184.61,1.0802
1.3,315.52,6.8446,1.01,201.94,1.1785
1.5,323.07,5.1905,0.95,109.3,1.1973
1.3,325.43,6.8446,1.01,201.94,1.1731
1.5,343.16,8.4242,1.07,177.72,1.0422
1.3,349.16,5.9831,1.05,193.22,1.0529
1.4,353.52,4.789,0.94,121.1,1.1962
1.5,345.98,4.3641,1.36,99.7,1.1898
1.5,329.34,7.0204,1.06,148.49,1.1036
1.2,344.71,3.986,0.9,159.48,1.254
1.4,328.01,7.2036,1.06,184.61,1.0721
1.4,341.02,5.0786,1.34,168.09,1.1128
1.5,331.32,7.0204,1.06,148.49,1.1024
1.2,344.42,5.6241,0.98,218.5,1.1656
1.3,336.57,4.5794,1.04,147.54,1.0974
1.2,332.45,4.7626,1.03,207.0,1.0614
1.1,326.27,2.1383,0.97,144.91,1.1021
1.5,323.47,7.0204,1.06,148.49,1.1071
1.3,352.22,5.2508,1.27,158.39,1.2608
1.3,314.36,4.3893,1.31,149.67,1.1282
1.1,335.26,2.1383,0.97,144.91,1.0965
1.1,315.27,3.542,0.99,236.27,1.0799
1.3,328.09,4.5794,1.04,147.54,1.1027
1.4,312.37,4.789,0.94,121.1,1.2204
1.5,336.79,5.1905,0.95,109.3,1.1898
1.4,325.51,5.9401,1.31,145.13,1.2756
1.3,346.27,6.8446,1.01,201.94,1.162
1.2,348.41,3.7,1.26,138.15,1.1017
1.3,309.19,3.526,0.96,127.15,1.0652
1.3,333.0,6.8446,1.01,201.94,1.1694
1.2,317.43,3.7,1.26,138.15,1.123
1.2,336.34,5.6241,0.98,218.5,1.1701
1.3,341.21,4.5794,1.04,147.54,1.0946
1.3,337.57,6.8446,1.01,201.94,1.1669
1.2,353.38,4.5615,1.21,179.6,1.2632
1.4,319.09,7.2036,1.06,184.61,1.0782
1.2,339.5,4.5615,1.21,179.6,1.2722
1.4,309.28,5.7999,1.05,148.07,1.1152
1.4,336.77,5.0786,1.34,168.09,1.1158
1.2,350.0,5.6241,0.98,218.5,1.1626
1.5,322.66,9.2857,1.04,183.3,1.1707
1.5,319.93,4.329,0.97,103.72,1.0618
1.5,311.57,4.329,0.97,103.72,1.0713
1.3,324.91,4.3893,1.31,149.67,1.1208
1.3,318.68,6.8446,1.01,201.94,1.1769
1.4,322.24,3.9275,0.97,114.13,1.0548
1.2,309.22,3.1245,0.95,147.97,1.0622
1.2,345.33,3.3588,1.02,146.7,1.0912
1.3,347.79,4.3875,0.93,135.86,1.2201
1.3,353.01,6.8446,1.01,201.94,1.1586
1.5,353.86,9.2857,1.04,183.3,1.1539
1.5,352.82,4.329,0.97,103.72,1.0252
1.4,342.87,7.2036,1.06,184.61,1.0622
1.3,344.25,3.526,0.96,127.15,1.0286
1.3,332.76,5.2508,1.27,158.39,1.2731
1.4,330.1,7.2036,1.06,184.61,1.0707
1.2,347.94,3.986,0.9,159.48,1.2521
1.4,346.27,5.7999,1.05,148.07,1.0924
1.5,317.46,5.1905,0.95,109.3,1.2008
1.5,312.74,6.6294,1.34,134.52,1.2817
1.3,329.78,5.2508,1.27,158.39,1.275
1.3,308.42,4.5794,1.04,147.54,1.1149
1.3,323.56,4.5794,1.04,147.54,1.1055
1.5,353.73,5.7679,1.36,207.24,1.1072
1.3,309.02,5.2508,1.27,158.39,1.2886
1.2,351.53,3.7,1.26,138.15,1.0997
1.5,347.77,9.2857,1.04,183.3,1.1572
1.3,346.5,4.5794,1.04,147.54,1.0913
1.2,348.05,5.6241,0.98,218.5,1.1635
1.3,344.93,4.3893,1.31,149.67,1.107
1.2,327.6,3.3588,1.02,146.7,1.1021
1.4,346.98,3.9275,0.97,114.13,1.0285
1.5,312.36,9.2857,1.04,183.3,1.1763
1.4,333.57,5.7999,1.05,148.07,1.1002
1.4,310.47,3.9275,0.97,114.13,1.0674
1.5,346.77,2.9253,0.97,74.48,1.0875
1.3,315.11,5.9831,1.05,193.22,1.0775
1.3,309.0,2.9856,1.3,103.98,1.1847
1.2,342.69,5.6241,0.98,218.5,1.1665
1.5,326.26,4.3641,1.36,99.7,1.2005
1.4,313.27,5.9401,1.31,145.13,1.2835
1.4,320.71,4.789,0.94,121.1,1.2155
1.2,323.92,3.986,0.9,159.48,1.2664
1.2,353.96,1.7208,0.94,87.6648,1.0898
1.5,310.93,2.9253,0.97,74.48,1.1083
1.4,333.25,2.5238,0.96,77.58,1.0983
1.3,318.39,4.3875,0.93,135.86,1.2371
1.5,318.77,7.0204,1.06,148.49,1.1099
1.2,330.62,3.7,1.26,138.15,1.1139
1.2,314.79,3.1245,0.95,147.97,1.0571
1.2,347.55,4.5615,1.21,179.6,1.2669
1.1,323.43,2.1383,0.97,144.91,1.1037
1.1,329.86,1.607,1.15,115.87,1.1399
1.4,308.04,5.9401,1.31,145.13,1.2869
1.4,353.29,3.9275,0.97,114.13,1.0219
1.5,330.19,4.329,0.97,103.72,1.0504
1.3,345.5,4.3875,0.93,135.86,1.2213
1.5,337.1,2.9253,0.97,74.48,1.0932
1.1,321.23,3.0108,1.16,128.94,1.1171
1.5,350.54,5.1905,0.95,109.3,1.1825
1.2,339.43,5.6241,0.98,218.5,1.1683
1.4,350.8,5.9401,1.31,145.13,1.2592
1.3,347.57,4.3893,1.31,149.67,1.1053
1.2,319.62,1.7208,0.94,87.6648,1.1101
1.5,307.68,6.6294,1.34,134.52,1.2851
1.2,317.05,4.7626,1.03,207.0,1.0732
1.1,345.04,2.1383,0.97,144.91,1.0906
1.3,313.79,5.2508,1.27,158.39,1.2854
1.5,326.56,5.7679,1.36,207.24,1.1271
1.2,323.57,4.5615,1.21,179.6,1.2826
1.3,321.48,4.3875,0.93,135.86,1.2354
1.1,340.44,2.1383,0.97,144.91,1.0935
1.3,321.75,6.8446,1.01,201.94,1.1751
1.2,331.09,4.5615,1.21,179.6,1.2776
1.2,337.04,2.2963,1.25,107.78,1.1551
1.1,309.03,1.607,1.15,115.87,1.1519
1.4,350.64,2.5238,0.96,77.58,1.0881
1.5,341.29,6.6294,1.34,134.52,1.2627
1.5,329.99,9.2857,1.04,183.3,1.1668
1.5,329.81,5.1905,0.95,109.3,1.1936
1.1,353.22,3.542,0.99,236.27,1.0486
1.4,329.07,2.5238,0.96,77.58,1.1008
1.1,331.27,3.0108,1.16,128.94,1.1106
1.3,324.86,5.2508,1.27,158.39,1.2782
1.5,320.26,6.6294,1.34,134.52,1.2764
1.3,308.69,6.8446,1.01,201.94,1.1819
1.2,338.52,3.986,0.9,159.48,1.2576
1.5,312.39,5.7679,1.36,207.24,1.1375
1.4,352.53,5.7999,1.05,148.07,1.0885
1.2,341.7,2.2963,1.25,107.78,1.1528
1.4,341.88,5.7999,1.05,148.07,1.095
1.3,352.93,4.5794,1.04,147.54,1.0873
1.4,323.48,7.2036,1.06,184.61,1.0751
1.2,337.49,1.7208,0.94,87.6648,1.0997
1.5,324.45,9.2857,1.04,183.3,1.1697
1.3,325.36,5.9831,1.05,193.22,1.0703
1.2,353.56,2.2963,1.25,107.78,1.1465
1.3,341.03,6.8446,1.01,201.94,1.1651
1.3,317.94,2.1223,0.96,81.46,1.1067
1.2,315.16,3.986,0.9,159.48,1.2715
1.5,332.36,2.9253,0.97,74.48,1.0957
1.1,308.2,3.0108,1.16,128.94,1.1256
1.3,311.88,5.9831,1.05,193.22,1.0799
1.2,353.23,3.7,1.26,138.15,1.0985
1.2,332.51,4.5615,1.21,179.6,1.2767
1.2,329.8,5.6241,0.98,218.5,1.1732
1.1,308.19,3.542,0.99,236.27,1.0856
1.5,339.62,5.7679,1.36,207.24,1.1176
1.2,311.36,3.1245,0.95,147.97,1.0602
1.3,345.11,5.2508,1.27,158.39,1.2652
1.5,352.63,5.1905,0.95,109.3,1.1813
1.2,320.83,4.5615,1.21,179.6,1.2843
1.3,327.83,6.8446,1.01,201.94,1.1719
1.2,352.34,4.7626,1.03,207.0,1.0462
1.4,340.01,5.9401,1.31,145.13,1.2663
1.5,317.31,8.4242,1.07,177.72,1.0591
1.3,308.8,5.9831,1.05,193.22,1.0821
1.3,348.47,6.8446,1.01,201.94,1.1609
