DES,HBA,HBD,MR,T/K,Dexp,MCI,Tbm,Tcm,Vcm,Pcm,ωm,MW
DES33,TBAB,EG,1.3,334.41,1.0393,3.526,484,700.38,496.39,54.31,0.96,127.15
DES33,TBAB,EG,1.3,337.61,1.0355,3.526,484,700.38,496.39,54.31,0.96,127.15
DES33,TBAB,EG,1.3,341.57,1.0311,3.526,484,700.38,496.39,54.31,0.96,127.15
DES33,TBAB,EG,1.3,344.25,1.0286,3.526,484,700.38,496.39,54.31,0.96,127.15
DES33,TBAB,EG,1.3,348.59,1.0234,3.526,484,700.38,496.39,54.31,0.96,127.15
DES33,TBAB,EG,1.3,352.89,1.0186,3.526,484,700.38,496.39,54.31,0.96,127.15
DES34,TBAB,EG,1.4,308.77,1.0691,3.9275,473,700.38,496.39,56.95,0.97,114.13
DES34,TBAB,EG,1.4,310.47,1.0674,3.9275,473,700.38,496.39,56.95,0.97,114.13
DES34,TBAB,EG,1.4,314.94,1.0627,3.9275,473,700.38,496.39,56.95,0.97,114.13
DES34,TBAB,EG,1.4,317.41,1.0601,3.9275,473,700.38,496.39,56.95,0.97,114.13
DES34,TBAB,EG,1.4,322.24,1.0548,3.9275,473,700.38,496.39,56.95,0.97,114.13
DES34,TBAB,EG,1.4,328.84,1.0476,3.9275,473,700.38,496.39,56.95,0.97,114.13
DES34,TBAB,EG,1.4,334.9,1.0412,3.9275,473,700.38,496.39,56.95,0.97,114.13
DES34,TBAB,EG,1.4,339.28,1.0368,3.9275,473,700.38,496.39,56.95,0.97,114.13
DES34,TBAB,EG,1.4,346.98,1.0285,3.9275,473,700.38,496.39,56.95,0.97,114.13
DES34,TBAB,EG,1.4,350.86,1.0244,3.9275,473,700.38,496.39,56.95,0.97,114.13
DES34,TBAB,EG,1.4,353.29,1.0219,3.9275,473,700.38,496.39,56.95,0.97,114.13
DES35,TBAB,EG,1.5,309.07,1.0738,4.329,466,700.38,496.39,58.69,0.97,103.72
DES35,TBAB,EG,1.5,311.57,1.0713,4.329,466,700.38,496.39,58.69,0.97,103.72
DES35,TBAB,EG,1.5,312.93,1.0694,4.329,466,700.38,496.39,58.69,0.97,103.72
DES35,TBAB,EG,1.5,319.93,1.0618,4.329,466,700.38,496.39,58.69,0.97,103.72
DES35,TBAB,EG,1.5,323.06,1.0584,4.329,466,700.38,496.39,58.69,0.97,103.72
DES35,TBAB,EG,1.5,330.19,1.0504,4.329,466,700.38,496.39,58.69,0.97,103.72
DES35,TBAB,EG,1.5,338.43,1.0403,4.329,466,700.38,496.39,58.69,0.97,103.72
DES35,TBAB,EG,1.5,341.29,1.0374,4.329,466,700.38,496.39,58.69,0.97,103.72
DES35,TBAB,EG,1.5,347.29,1.0307,4.329,466,700.38,496.39,58.69,0.97,103.72
DES35,TBAB,EG,1.5,348.17,1.0298,4.329,466,700.38,496.39,58.69,0.97,103.72
DES35,TBAB,EG,1.5,352.82,1.0252,4.329,466,700.38,496.39,58.69,0.97,103.72
DES36,TBAB,Gly,1.1,308.2,1.1256,3.0108,595,765.9,565,38.96,1.16,128.94
DES36,TBAB,Gly,1.1,310.19,1.1241,3.0108,595,765.9,565,38.96,1.16,128.94
DES36,TBAB,Gly,1.1,314.8,1.1211,3.0108,595,765.9,565,38.96,1.16,128.94
DES36,TBAB,Gly,1.1,321.23,1.1171,3.0108,595,765.9,565,38.96,1.16,128.94
DES36,TBAB,Gly,1.1,325.11,1.1146,3.0108,595,765.9,565,38.96,1.16,128.94
DES36,TBAB,Gly,1.1,331.27,1.1106,3.0108,595,765.9,565,38.96,1.16,128.94
DES36,TBAB,Gly,1.1,341.34,1.1042,3.0108,595,765.9,565,38.96,1.16,128.94
DES36,TBAB,Gly,1.1,347.96,1.1,3.0108,595,765.9,565,38.96,1.16,128.94
DES36,TBAB,Gly,1.1,352.8,1.097,3.0108,595,765.9,565,38.96,1.16,128.94
DES37,TBAB,Gly,1.2,308.94,1.129,3.7,578,765.9,565,46.96,1.26,138.15
DES37,TBAB,Gly,1.2,313.3,1.1257,3.7,578,765.9,565,46.96,1.26,138.15
DES37,TBAB,Gly,1.2,317.43,1.123,3.7,578,765.9,565,46.96,1.26,138.15
DES37,TBAB,Gly,1.2,323.22,1.1189,3.7,578,765.9,565,46.96,1.26,138.15
DES37,TBAB,Gly,1.2,326.37,1.1168,3.7,578,765.9,565,46.96,1.26,138.15
DES37,TBAB,Gly,1.2,330.62,1.1139,3.7,578,765.9,565,46.96,1.26,138.15
DES37,TBAB,Gly,1.2,338.46,1.1086,3.7,578,765.9,565,46.96,1.26,138.15
DES37,TBAB,Gly,1.2,345.96,1.1035,3.7,578,765.9,565,46.96,1.26,138.15
DES37,TBAB,Gly,1.2,348.41,1.1017,3.7,578,765.9,565,46.96,1.26,138.15
DES37,TBAB,Gly,1.2,351.53,1.0997,3.7,578,765.9,565,46.96,1.26,138.15
DES37,TBAB,Gly,1.2,353.23,1.0985,3.7,578,765.9,565,46.96,1.26,138.15
DES38,TBAB,Gly,1.3,308.69,1.1326,4.3893,570,765.9,565,51.08,1.31,149.67
DES38,TBAB,Gly,1.3,314.36,1.1282,4.3893,570,765.9,565,51.08,1.31,149.67
DES38,TBAB,Gly,1.3,321.03,1.1237,4.3893,570,765.9,565,51.08,1.31,149.67
DES38,TBAB,Gly,1.3,324.91,1.1208,4.3893,570,765.9,565,51.08,1.31,149.67
DES38,TBAB,Gly,1.3,332.77,1.1154,4.3893,570,765.9,565,51.08,1.31,149.67
DES38,TBAB,Gly,1.3,336.96,1.1125,4.3893,570,765.9,565,51.08,1.31,149.67
DES38,TBAB,Gly,1.3,342.19,1.1089,4.3893,570,765.9,565,51.08,1.31,149.67
DES38,TBAB,Gly,1.3,344.93,1.107,4.3893,570,765.9,565,51.08,1.31,149.67
DES38,TBAB,Gly,1.3,347.57,1.1053,4.3893,570,765.9,565,51.08,1.31,149.67
DES38,TBAB,Gly,1.3,353.36,1.1011,4.3893,570,765.9,565,51.08,1.31,149.67
DES39,TBAB,Gly,1.4,308.4,1.1363,5.0786,565,765.9,565,53.5,1.34,168.09
DES39,TBAB,Gly,1.4,312.51,1.133,5.0786,565,765.9,565,53.5,1.34,168.09
DES39,TBAB,Gly,1.4,315.49,1.1309,5.0786,565,765.9,565,53.5,1.34,168.09
DES39,TBAB,Gly,1.4,319.84,1.1279,5.0786,565,765.9,565,53.5,1.34,168.09
DES39,TBAB,Gly,1.4,325.84,1.1236,5.0786,565,765.9,565,53.5,1.34,168.09
DES39,TBAB,Gly,1.4,333.93,1.1179,5.0786,565,765.9,565,53.5,1.34,168.09
DES39,TBAB,Gly,1.4,336.77,1.1158,5.0786,565,765.9,565,53.5,1.34,168.09
DES39,TBAB,Gly,1.4,341.02,1.1128,5.0786,565,765.9,565,53.5,1.34,168.09
DES39,TBAB,Gly,1.4,348.84,1.1073,5.0786,565,765.9,565,53.5,1.34,168.09
DES39,TBAB,Gly,1.4,352.89,1.1044,5.0786,565,765.9,565,53.5,1.34,168.09
DES40,TBAB,Gly,1.5,308.29,1.1406,5.7679,561,765.9,565,55.1,1.36,207.24
DES40,TBAB,Gly,1.5,312.39,1.1375,5.7679,561,765.9,565,55.1,1.36,207.24
DES40,TBAB,Gly,1.5,314.27,1.1361,5.7679,561,765.9,565,55.1,1.36,207.24
DES40,TBAB,Gly,1.5,326.56,1.1271,5.7679,561,765.9,565,55.1,1.36,207.24
DES40,TBAB,Gly,1.5,332.47,1.1227,5.7679,561,765.9,565,55.1,1.36,207.24
DES40,TBAB,Gly,1.5,339.62,1.1176,5.7679,561,765.9,565,55.1,1.36,207.24
DES40,TBAB,Gly,1.5,345.52,1.1133,5.7679,561,765.9,565,55.1,1.36,207.24
DES40,TBAB,Gly,1.5,352.09,1.1084,5.7679,561,765.9,565,55.1,1.36,207.24
DES40,TBAB,Gly,1.5,353.73,1.1072,5.7679,561,765.9,565,55.1,1.36,207.24
DES41,TBAB,TEG,1.1,308.19,1.0856,3.542,606,780.7,702.54,24.64,0.99,236.27
DES41,TBAB,TEG,1.1,315.27,1.0799,3.542,606,780.7,702.54,24.64,0.99,236.27
DES41,TBAB,TEG,1.1,321.37,1.0748,3.542,606,780.7,702.54,24.64,0.99,236.27
DES41,TBAB,TEG,1.1,323.85,1.0727,3.542,606,780.7,702.54,24.64,0.99,236.27
DES41,TBAB,TEG,1.1,325.19,1.0717,3.542,606,780.7,702.54,24.64,0.99,236.27
DES41,TBAB,TEG,1.1,327.91,1.0694,3.542,606,780.7,702.54,24.64,0.99,236.27
DES41,TBAB,TEG,1.1,333.7,1.0647,3.542,606,780.7,702.54,24.64,0.99,236.27
DES41,TBAB,TEG,1.1,337.6,1.0617,3.542,606,780.7,702.54,24.64,0.99,236.27
DES41,TBAB,TEG,1.1,341.72,1.0583,3.542,606,780.7,702.54,24.64,0.99,236.27
DES41,TBAB,TEG,1.1,343.78,1.0564,3.542,606,780.7,702.54,24.64,0.99,236.27
DES41,TBAB,TEG,1.1,345.59,1.0549,3.542,606,780.7,702.54,24.64,0.99,236.27
DES41,TBAB,TEG,1.1,351.31,1.0502,3.542,606,780.7,702.54,24.64,0.99,236.27
DES41,TBAB,TEG,1.1,353.22,1.0486,3.542,606,780.7,702.54,24.64,0.99,236.27
DES42,TBAB,TEG,1.2,308.2,1.0801,4.7626,593,780.7,702.54,27.91,1.03,207
DES42,TBAB,TEG,1.2,317.05,1.0732,4.7626,593,780.7,702.54,27.91,1.03,207
DES42,TBAB,TEG,1.2,320.68,1.0703,4.7626,593,780.7,702.54,27.91,1.03,207
DES42,TBAB,TEG,1.2,325.78,1.0665,4.7626,593,780.7,702.54,27.91,1.03,207
DES42,TBAB,TEG,1.2,328.54,1.0643,4.7626,593,780.7,702.54,27.91,1.03,207
DES42,TBAB,TEG,1.2,332.45,1.0614,4.7626,593,780.7,702.54,27.91,1.03,207
DES42,TBAB,TEG,1.2,335.79,1.0588,4.7626,593,780.7,702.54,27.91,1.03,207
DES42,TBAB,TEG,1.2,342.73,1.0533,4.7626,593,780.7,702.54,27.91,1.03,207
DES42,TBAB,TEG,1.2,344.21,1.0522,4.7626,593,780.7,702.54,27.91,1.03,207
DES42,TBAB,TEG,1.2,350.38,1.0476,4.7626,593,780.7,702.54,27.91,1.03,207
DES42,TBAB,TEG,1.2,352.34,1.0462,4.7626,593,780.7,702.54,27.91,1.03,207
DES43,TBAB,TEG,1.3,308.8,1.0821,5.9831,586,780.7,702.54,29.59,1.05,193.22
DES43,TBAB,TEG,1.3,311.88,1.0799,5.9831,586,780.7,702.54,29.59,1.05,193.22
DES43,TBAB,TEG,1.3,315.11,1.0775,5.9831,586,780.7,702.54,29.59,1.05,193.22
DES43,TBAB,TEG,1.3,318.27,1.0752,5.9831,586,780.7,702.54,29.59,1.05,193.22
DES43,TBAB,TEG,1.3,321.5,1.0729,5.9831,586,780.7,702.54,29.59,1.05,193.22
DES43,TBAB,TEG,1.3,325.36,1.0703,5.9831,586,780.7,702.54,29.59,1.05,193.22
DES43,TBAB,TEG,1.3,330.73,1.0664,5.9831,586,780.7,702.54,29.59,1.05,193.22
DES43,TBAB,TEG,1.3,336.61,1.0621,5.9831,586,780.7,702.54,29.59,1.05,193.22
DES43,TBAB,TEG,1.3,341.29,1.0588,5.9831,586,780.7,702.54,29.59,1.05,193.22
DES43,TBAB,TEG,1.3,345.51,1.0557,5.9831,586,780.7,702.54,29.59,1.05,193.22
DES43,TBAB,TEG,1.3,349.16,1.0529,5.9831,586,780.7,702.54,29.59,1.05,193.22
DES43,TBAB,TEG,1.3,351.48,1.0512,5.9831,586,780.7,702.54,29.59,1.05,193.22
DES43,TBAB,TEG,1.3,353.57,1.0497,5.9831,586,780.7,702.54,29.59,1.05,193.22
DES44,TBAB,TEG,1.4,308.76,1.0846,7.2036,582,780.7,702.54,30.58,1.06,184.61
DES44,TBAB,TEG,1.4,311.01,1.083,7.2036,582,780.7,702.54,30.58,1.06,184.61
DES44,TBAB,TEG,1.4,313.88,1.0813,7.2036,582,780.7,702.54,30.58,1.06,184.61
DES44,TBAB,TEG,1.4,315.56,1.0802,7.2036,582,780.7,702.54,30.58,1.06,184.61
DES44,TBAB,TEG,1.4,319.09,1.0782,7.2036,582,780.7,702.54,30.58,1.06,184.61
DES44,TBAB,TEG,1.4,323.48,1.0751,7.2036,582,780.7,702.54,30.58,1.06,184.61
DES44,TBAB,TEG,1.4,328.01,1.0721,7.2036,582,780.7,702.54,30.58,1.06,184.61
DES44,TBAB,TEG,1.4,330.1,1.0707,7.2036,582,780.7,702.54,30.58,1.06,184.61
DES44,TBAB,TEG,1.4,335.44,1.0674,7.2036,582,780.7,702.54,30.58,1.06,184.61
DES44,TBAB,TEG,1.4,338.42,1.0651,7.2036,582,780.7,702.54,30.58,1.06,184.61
DES44,TBAB,TEG,1.4,342.87,1.0622,7.2036,582,780.7,702.54,30.58,1.06,184.61
DES44,TBAB,TEG,1.4,350.32,1.0571,7.2036,582,780.7,702.54,30.58,1.06,184.61
DES44,TBAB,TEG,1.4,353.47,1.055,7.2036,582,780.7,702.54,30.58,1.06,184.61
DES45,TBAB,TEG,1.5,308.95,1.0642,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,310.57,1.0631,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,313.38,1.0612,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,315.73,1.0601,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,317.31,1.0591,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,319.56,1.0576,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,322.32,1.0557,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,325.86,1.0533,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,327.81,1.0523,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,330.26,1.0507,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,333.39,1.0487,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,336.14,1.0469,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,340.21,1.0441,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,343.16,1.0422,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,349.41,1.0384,8.4242,579,780.7,702.54,31.24,1.07,177.72
DES45,TBAB,TEG,1.5,352.32,1.037,8.4242,579,780.7,702.54,31.24,1.07,177.72
